x,y
-11.46039,-1.955006
-11.457567,-1.9697220000000002
-11.454744,-1.975609
-11.451921,-1.978552
-11.449097,-1.975609
-11.446274,-1.9697220000000002
-11.449097,-1.960893
-11.457567,-1.95795
-11.480151,-1.9726650000000001
-11.497086999999999,-1.993267
-11.516842,-2.013868
-11.519664,-2.005039
-11.491442,-1.993267
-11.457567,-1.9844380000000001
-11.440627000000001,-1.9844380000000001
-11.451921,-1.9844380000000001
-11.466037,-1.9844380000000001
-11.474506,-1.975609
-11.482974,-1.9697220000000002
-11.482974,-1.960893
-11.477328,-1.966779
-11.471683,-1.975609
-11.474506,-1.9844380000000001
-11.480151,-1.987381
-11.485797,-1.9844380000000001
-11.485797,-1.978552
-11.482974,-1.9726650000000001
-11.480151,-1.981495
-11.482974,-1.9962099999999998
-11.491442,-2.007982
-11.497086999999999,-1.9903240000000002
-11.499908999999999,-1.9726650000000001
-11.499908999999999,-1.955006
-11.499908999999999,-1.975609
-11.505554,-1.9962099999999998
-11.511198,-2.016811
-11.519664,-2.0197540000000003
-11.522486,-2.02564
-11.522486,-2.02564
-11.51402,-2.013868
-11.508376,-1.999153
-11.505554,-1.9903240000000002
-11.505554,-1.9844380000000001
-11.511198,-1.978552
-11.519664,-1.978552
-11.530952000000001,-1.975609
-11.522486,-1.981495
-11.508376,-1.9903240000000002
-11.494264,-1.999153
-11.494264,-1.999153
-11.491442,-1.993267
-11.491442,-1.9903240000000002
-11.488619,-1.9726650000000001
-11.499908999999999,-1.94912
-11.516842,-1.946177
-11.530952000000001,-1.960893
-11.533774000000001,-1.978552
-11.516842,-1.978552
-11.502732,-1.9844380000000001
-11.497086999999999,-1.9903240000000002
-11.497086999999999,-1.999153
-11.497086999999999,-2.002096
-11.491442,-2.005039
-11.499908999999999,-2.007982
-11.508376,-2.005039
-11.511198,-2.002096
-11.505554,-2.007982
-11.51402,-2.013868
-11.52813,-2.007982
-11.539417,-1.9962099999999998
-11.539417,-1.9844380000000001
-11.539417,-1.981495
-11.542238000000001,-1.975609
-11.536595,-1.966779
-11.52813,-1.95795
-11.516842,-1.95795
-11.508376,-1.960893
-11.502732,-1.966779
-11.494264,-1.9638360000000001
-11.491442,-1.95795
-11.502732,-1.952063
-11.51402,-1.9432330000000002
-11.52813,-1.9373470000000002
-11.52813,-1.93146
-11.533774000000001,-1.93146
-11.530952000000001,-1.93146
-11.522486,-1.9373470000000002
-11.51402,-1.94912
-11.516842,-1.95795
-11.519664,-1.952063
-11.522486,-1.9432330000000002
-11.519664,-1.94029
-11.516842,-1.960893
-11.519664,-1.981495
-11.522486,-1.9844380000000001
-11.51402,-1.955006
-11.508376,-1.9255740000000001
-11.502732,-1.9079139999999999
-11.505554,-1.910857
-11.508376,-1.9167439999999998
-11.51402,-1.934404
-11.516842,-1.946177
-11.522486,-1.960893
-11.522486,-1.95795
-11.522486,-1.952063
-11.525308,-1.94912
-11.52813,-1.94912
-11.516842,-1.9432330000000002
-11.499908999999999,-1.94029
-11.482974,-1.9373470000000002
-11.480151,-1.94029
-11.482974,-1.94029
-11.485797,-1.94029
-11.491442,-1.94029
-11.491442,-1.955006
-11.494264,-1.9697220000000002
-11.497086999999999,-1.9844380000000001
-11.497086999999999,-1.999153
-11.508376,-2.010925
-11.522486,-1.999153
-11.522486,-1.9697220000000002
-11.505554,-1.94029
-11.499908999999999,-1.934404
-11.505554,-1.93146
-11.511198,-1.934404
-11.502732,-1.9432330000000002
-11.508376,-1.952063
-11.519664,-1.95795
-11.530952000000001,-1.955006
-11.530952000000001,-1.94912
-11.533774000000001,-1.946177
-11.530952000000001,-1.93146
-11.52813,-1.919687
-11.519664,-1.919687
-11.51402,-1.934404
-11.508376,-1.952063
-11.502732,-1.955006
-11.505554,-1.975609
-11.511198,-1.993267
-11.516842,-1.993267
-11.519664,-1.9726650000000001
-11.522486,-1.95795
-11.525308,-1.9638360000000001
-11.52813,-1.955006
-11.52813,-1.9432330000000002
-11.522486,-1.94029
-11.519664,-1.9432330000000002
-11.522486,-1.9373470000000002
-11.522486,-1.9226299999999998
-11.525308,-1.9285169999999998
-11.530952000000001,-1.9432330000000002
-11.539417,-1.955006
-11.550703,-1.955006
-11.553524000000001,-1.955006
-11.553524000000001,-1.95795
-11.550703,-1.9697220000000002
-11.542238000000001,-1.981495
-11.536595,-1.975609
-11.530952000000001,-1.95795
-11.52813,-1.94029
-11.522486,-1.946177
-11.516842,-1.94912
-11.511198,-1.960893
-11.502732,-1.9697220000000002
-11.494264,-1.94912
-11.482974,-1.9226299999999998
-11.480151,-1.9079139999999999
-11.482974,-1.9226299999999998
-11.502732,-1.9373470000000002
-11.522486,-1.952063
-11.533774000000001,-1.955006
-11.533774000000001,-1.960893
-11.533774000000001,-1.9432330000000002
-11.530952000000001,-1.9285169999999998
-11.539417,-1.9285169999999998
-11.553524000000001,-1.94912
-11.570451,-1.9697220000000002
-11.561988000000001,-1.9697220000000002
-11.547881,-1.9697220000000002
-11.530952000000001,-1.966779
-11.530952000000001,-1.9638360000000001
-11.52813,-1.960893
-11.52813,-1.955006
-11.516842,-1.960893
-11.502732,-1.966779
-11.485797,-1.975609
-11.480151,-1.9726650000000001
-11.480151,-1.9697220000000002
-11.497086999999999,-1.9638360000000001
-11.519664,-1.9638360000000001
-11.52813,-1.9697220000000002
-11.51402,-1.978552
-11.508376,-1.981495
-11.522486,-1.9844380000000001
-11.530952000000001,-1.9844380000000001
-11.530952000000001,-1.987381
-11.519664,-1.993267
-11.51402,-1.999153
-11.499908999999999,-1.9903240000000002
-11.488619,-1.975609
-11.482974,-1.95795
-11.491442,-1.952063
-11.497086999999999,-1.94029
-11.499908999999999,-1.93146
-11.499908999999999,-1.9255740000000001
-11.502732,-1.9373470000000002
-11.505554,-1.94912
-11.505554,-1.955006
-11.505554,-1.960893
-11.508376,-1.960893
-11.508376,-1.9638360000000001
-11.511198,-1.9638360000000001
-11.51402,-1.9697220000000002
-11.519664,-1.9726650000000001
-11.525308,-1.978552
-11.52813,-1.975609
-11.52813,-1.9726650000000001
-11.530952000000001,-1.966779
-11.511198,-1.966779
-11.488619,-1.9697220000000002
-11.468860000000001,-1.9697220000000002
-11.474506,-1.966779
-11.480151,-1.981495
-11.485797,-1.999153
-11.488619,-2.016811
-11.488619,-2.0197540000000003
-11.491442,-2.022697
-11.491442,-2.02564
-11.491442,-2.02564
-11.491442,-2.022697
-11.494264,-2.02564
-11.497086999999999,-2.0285830000000002
-11.499908999999999,-2.016811
-11.499908999999999,-1.9903240000000002
-11.499908999999999,-1.9726650000000001
-11.502732,-1.981495
-11.508376,-1.993267
-11.516842,-1.9962099999999998
-11.519664,-1.9962099999999998
-11.519664,-1.993267
-11.51402,-1.993267
-11.51402,-2.002096
-11.508376,-2.010925
-11.499908999999999,-2.022697
-11.505554,-2.0197540000000003
-11.516842,-2.0197540000000003
-11.525308,-1.999153
-11.505554,-1.978552
-11.491442,-1.9638360000000001
-11.488619,-1.966779
-11.497086999999999,-1.975609
-11.505554,-1.978552
-11.508376,-1.981495
-11.508376,-1.975609
-11.511198,-1.966779
-11.505554,-1.95795
-11.499908999999999,-1.952063
-11.497086999999999,-1.952063
-11.502732,-1.9638360000000001
-11.522486,-1.9726650000000001
-11.539417,-1.975609
-11.536595,-1.9697220000000002
-11.519664,-1.9726650000000001
